Scenario,groups,iF1,iF2,iF3,iF4,iF5,iF6,iF7,iF8,iF9,iF10,iF11,iF12,iF13,iF14,iF15,iF16,iF17,iF18,iF19
S1_F0.8,jF4,0.000203159,1.69E-05,0.002020405,0,0.000101707,-0.000668088,-0.000553651,-0.000350073,-0.000276653,-0.000292551,-0.000424929,-9.23E-05,-0.000179598,-2.15E-05,-6.63E-05,-0.000234394,-0.000297138,-0.000317661,-0.000150026
S1_F0.8,jF5,0.000141876,-3.22E-06,0.001500265,-0.000101707,0,-0.000544726,-0.000527384,-0.000616829,-0.000336703,-0.000295894,-0.000267644,-5.53E-05,-0.000235277,-0.000120329,-0.000118979,-0.000264911,-0.000331556,-0.000310391,-0.00019617
S1_F0.8,jF6,6.01E-05,1.49E-05,0.00106123,0.000668088,0.000544726,0,0.000179031,-3.85E-05,-0.000190981,-0.000112434,-0.000172272,-0.000234858,-0.000111847,-7.74E-05,-6.89E-05,-0.000233309,-0.000378638,-0.000436062,-0.000147171
S1_F0.8,jF7,7.59E-05,2.04E-06,0.000883188,0.000553651,0.000527384,-0.000179031,0,-6.54E-06,-1.76E-05,-6.11E-06,-0.000115535,-2.39E-05,-0.000103122,-0.000299712,-0.00020994,-0.000243828,-0.000400419,-0.000515379,-0.000154282
S1_F0.8,jF8,9.28E-05,6.19E-06,0.000251376,0.000350073,0.000616829,3.85E-05,6.54E-06,0,-1.05E-07,8.46E-06,3.96E-06,-3.53E-06,2.49E-05,-9.91E-05,-0.000106091,-0.000207949,-0.000482633,-0.000854652,-0.00012155
S1_F0.8,jF9,-8.69E-06,1.59E-05,0.000401814,0.000276653,0.000336703,0.000190981,1.76E-05,1.05E-07,0,0.000465481,7.93E-05,-4.30E-06,-1.58E-05,-7.02E-05,-9.20E-05,-0.000239672,-0.000448739,-0.000451304,-0.000154164
S1_F0.8,jF10,-1.38E-05,1.26E-05,0.000283797,0.000292551,0.000295894,0.000112434,6.11E-06,-8.46E-06,-0.000465481,0,3.69E-05,-1.95E-05,-1.02E-05,-5.96E-05,-8.22E-05,-0.00026585,-0.000409193,-0.000521869,-0.00018918
S1_F0.8,jF11,-1.15E-05,0.000445963,0.000553418,0.000424929,0.000267644,0.000172272,0.000115535,-3.96E-06,-7.93E-05,-3.69E-05,0,-1.20E-05,-0.000101485,-3.83E-05,-0.000161204,-0.000285568,-0.000350229,-0.000384701,-0.000187143
S1_F0.8,jF12,-2.07E-05,1.51E-05,0.000135894,9.23E-05,5.53E-05,0.000234858,2.39E-05,3.53E-06,4.30E-06,1.95E-05,1.20E-05,0,5.05E-05,-0.000234644,-0.000150711,-0.000294733,-0.000340763,-0.000319531,-0.000201246
S1_F0.8,jF13,-1.61E-06,0.000279655,0.000190647,0.000179598,0.000235277,0.000111847,0.000103122,-2.49E-05,1.58E-05,1.02E-05,0.000101485,-5.05E-05,0,-1.81E-05,-9.87E-05,-0.000331707,-0.000315805,-0.000280906,-0.000320169
S1_F0.8,jF14,-2.57E-05,7.34E-07,6.51E-05,2.15E-05,0.000120329,7.74E-05,0.000299712,9.91E-05,7.02E-05,5.96E-05,3.83E-05,0.000234644,1.81E-05,0,-8.96E-05,-0.000369232,-0.000271169,-0.000241385,-0.000251881
S1_F0.8,jF15,0.000163291,0.000198056,9.09E-05,6.63E-05,0.000118979,6.89E-05,0.00020994,0.000106091,9.20E-05,8.22E-05,0.000161204,0.000150711,9.87E-05,8.96E-05,0,-0.00037968,-0.000247372,-0.000238048,-9.69E-05
S1_F0.8,jF16,7.27E-05,0.0002211,0.000233725,0.000234394,0.000264911,0.000233309,0.000243828,0.000207949,0.000239672,0.00026585,0.000285568,0.000294733,0.000331707,0.000369232,0.00037968,0,0,0,0.000350562
S1_F0.8,jF17,6.20E-05,0.000463468,0.000308528,0.000297138,0.000331556,0.000378638,0.000400419,0.000482633,0.000448739,0.000409193,0.000350229,0.000340763,0.000315805,0.000271169,0.000247372,0,0,0,0.000382301
S1_F0.8,jF18,6.23E-05,0.000566531,0.000329774,0.000317661,0.000310391,0.000436062,0.000515379,0.000854652,0.000451304,0.000521869,0.000384701,0.000319531,0.000280906,0.000241385,0.000238048,0,0,0,0.000339322
S1_F0.8,jF19,-4.37E-06,0.00016583,0.000178251,0.000150026,0.00019617,0.000147171,0.000154282,0.00012155,0.000154164,0.00018918,0.000187143,0.000201246,0.000320169,0.000251881,9.69E-05,-0.000350562,-0.000382301,-0.000339322,0
S1_F1.0,jF1,0,2.08E-05,4.56E-05,-0.000203579,-0.000140824,-6.01E-05,-7.65E-05,-9.22E-05,8.88E-06,1.39E-05,1.17E-05,2.07E-05,1.94E-06,2.58E-05,-0.000163708,-7.28E-05,-6.20E-05,-6.23E-05,4.45E-06
